lat	lng	location	type
16.7788	96.149	16.7788N;96.1490E	coordinates
34.769	137.8568	34.769N;137.8568E	coordinates
25.4915799	-98.9811115	China	name
38.5	106.5	38.5N;106.5E	coordinates
40.0142	-83.0309	40.0142N;83.0309W	coordinates
36.68	-121.67	36.68N;121.67W	coordinates
46.55151	6.688673	46.551510N;6.688673E	coordinates
37.1232245	-78.4927721	USA,Virginia	name
34.0000001	113.9999999	China,Henan	name
39.1235635	117.1980785	China,Tianjin	name
39.7837304	-100.4458825	USA	name
39.56	116.20000000000003	39.56N;116.20000000000005E	coordinates
-12.8	45.2	12.80S;45.20E	coordinates
24.08	120.37	24.08N;120.37E	coordinates
36.86590966729366	127.5528171192243	36.86590966729366N;127.5528171192243E	coordinates
37.3752369	127.094092	South Korea,Bundang	name
30.5000001	102.4999999	China,Sichuan	name
37.498095	127.0761	37.498095N;127.07610E	coordinates
30.6765553	104.0612783	China,Sichuan,Chengdu	name
24.12	120.35	24.12N;120.35E	coordinates
16.75	81.6	16.75N;81.6E	coordinates
-13.1042049	28.3266039	Zambia,Central Africa	name
51.9636	7.6132	51.9636N;7.6132E	coordinates
51.4309	-0.0936	51.4309N;0.0936W	coordinates
51.0834196	10.4234469	Germany	name
9.0	-154.0	9N;154W	coordinates
15.0	115.0	China,South China Sea	name
54.70235450000001	-3.2765753	United Kingdom	name
64.5731537	11.5280364	Norway	name
-41.75	-73.0	Chile,Lilihuapi Island,Comau fjord,X Region	name
29.5585712	106.5492822	China,Chongqing	name
45.4217	-123.9342	45.421700N;123.934200W	coordinates
37.5666791	126.97829140000002	South Korea,Seoul	name
34.6401861	39.0494106	Syria	name
24.8134099	113.5923564	China,Shaoguan	name
-21.95498060000001	-49.0232348	Brazil,Sao Paulo	name
-6.8699697	-75.0458515	Peru	name
55.670249	10.333328300000002	Denmark	name
28.6792695	115.8885987	China,Nanchang	name
38.984652	-77.094709	38.984652N;77.094709W	coordinates
41.8945	-87.6208	41.8945N;87.6208W	coordinates
51.539190168651764	9.911562499999944	51.539190168651764N;9.911562499999945E	coordinates
38.14	-78.45	38.14N;78.45W	coordinates
36.5581914	127.9408564	South Korea	name
37.562304	126.940909	37.562304N;126.940909E	coordinates
52.279527	-1.5844827	United Kingdom,Warwick	name
26.093926	119.313185	26.093926N;119.313185E	coordinates
45.98965870000001	-94.6113288	USA,Minnesota	name
38.920716	121.6388678	China,Dalian	name
51.64	-0.4	51.64N;0.40W	coordinates
34.7757254	119.4436091	China,Liandao,Jiangsu	name
40.0757384	-74.4041622	USA,New Jersey	name
38.98	-77.11	38.98N;77.11W	coordinates
-10.3333333	-53.2	Brazil	name
36.636055	127.323334	36.636055N;127.323334E	coordinates
54.09	7.936	54.090N;7.936E	coordinates
57.26	8.732999999999999	57.260N;8.733E	coordinates
37.3489	-108.5859	37.3489N;108.5859W	coordinates
24.13	117.62	24.13N;117.62E	coordinates
53.41	-2.96	53.41N;2.96W	coordinates
36.36	128.54	36.36N;128.54E	coordinates
43.356984	-5.86793	43.356984N;5.867930W	coordinates
41.1396149	1.2197572	Spain,Tarragona,Catalonia	name
34.014720000000004	128.75667	South Korea,southern sea	name
19.4326009	-99.1333416	Mexico,Mexico City	name
36.139416	-86.80228000000002	36.139416N;86.802280W	coordinates
36.0833877	140.07650980000003	Japan,Tsukuba	name
21.39	-157.93	21.39N;157.93W	coordinates
39.5162234	-76.9382069	USA,Maryland	name
30.2489634	120.2052342	China,Hangzhou	name
28.765792699999995	104.6353116	China,Sichuan,Yibin	name
13.765999999999998	100.5268	13.7660N;100.5268E	coordinates
13.766619	100.526786	13.766619N;100.526786E	coordinates
48.1675	17.0878	48.1675N;17.0878E	coordinates
50.000678	-86.000977	Canada,Ontario	name
45.421106	-75.690308	Canada,Ontario,Ottawa	name
29.64539760000001	91.0343102	China,Qinghai-Tibet Plateau	name
35.597638	129.464805	35.597638N;129.464805E	coordinates
51.351000000000006	4.3444	51.3510N;4.3444E	coordinates
-12.5	18.5	Russia,Nadym region of northwest Siberia,Yamalo-Nenets AO	name
31.2253441	121.4888922	China,Shanghai	name
53.3904	-6.2235	53.3904N;6.2235W	coordinates
37.254581	-77.409429	USA,James River near Chester,VA	name
38.45728	-76.74168900000002	USA,Potomac River near Nanjemoy,MD	name
41.3785479	122.42683429999998	China,Taian	name
35.1799528	129.0752365	South Korea,Pusan	name
44.0521245	-123.0948095	USA,Eugene,OR	name
14.166667000000002	121.21666667	14.166667N;121.21666667E	coordinates
23.1301964	113.2592945	China,Guangzhou	name
17.53	114.34	17.53N;114.34E	coordinates
59.938732	30.316229	Russia,Saint-Petersburg	name
20.683000000000003	-24.219	20.683N;24.219W	coordinates
1.3408528	103.8784469	Singapore	name
39.9059631	116.391248	China,Beijing	name
45.852157	9.415109	45.852157N;9.415109E	coordinates
34.22	132.27	34.22N;132.27E	coordinates
23.29	120.27	23.29N;120.27E	coordinates
36.57	-121.62	36.57N;121.62W	coordinates
36.6	-121.6	36.6N;121.6W	coordinates
35.108324	126.86746399999998	35.108324N;126.867464E	coordinates
33.6856969	-117.82598190000002	USA,Irvine	name
41.9216734	-93.3122705	USA,Iowa	name
36.5748441	139.2394179	Japan	name
36.7014631	-118.7559974	USA,CA	name
30.642769	104.0675118	China,Chengdu,Sichuan	name
41.5	85.5	China,Xinjiang	name
32.775833	-96.796667	32.775833N;96.79666700000001W	coordinates
41.41	2.17	41.41N;2.17E	coordinates
35.11	114.12	35.11N;114.12E	coordinates
30.2568	120.202	30.2568N;120.202E	coordinates
-0.7031069999999999	-120.9375	Pacific Ocean	name
35.2112778	128.11730559999998	35.2112778N;128.1173056E	coordinates
27.681864	112.626292	China,XiangTan	name
34.972588	138.93347680000002	Japan,Shizuoka,Izu peninsula	name
-26.06268	27.43202	26.06268S;27.43202E	coordinates
30.2665272	120.1180432	China,Hangzhou,Zhejiang	name
47.22	8.33	47.22N;8.33E	coordinates
14.1667	121.2167	14.1667N;121.2167E	coordinates
35.1933058	126.821099	South Korea,Suwan	name
22.62	114.07	22.62N;114.07E	coordinates
24.94	121.2	24.94N;121.20E	coordinates
51.5073219	-0.1276474	United Kingdom,London	name
32.329380900000004	-83.1137366	USA,GA	name
35.6729639	-79.03929190000002	USA,NC	name
37.1232245	-78.4927721	USA,VA	name
54.3614302	18.6282334	Poland,Gdansk	name
59.93	10.74	59.93N;10.74E	coordinates
44.57	-100.87	44.57N;100.87W	coordinates
32.060973600000004	118.79164579999998	China,Nanjing	name
-31.1142345	152.92468359999995	Australia,Sealake	name
25.119474	121.520112	25.119474N;121.520112E	coordinates
23.5982979	120.8353631	Taiwan	name
57.6823	11.9613	57.6823N;11.9613E	coordinates
0.055815099999999986	34.542302800000016	0.0558151N;34.542302800000016E	coordinates
35.65519600000001	139.833548	35.655196N;139.833548E	coordinates
42.3602534	-71.0582912	USA,Boston	name
52.2321335	-8.670124699999974	52.2321335N;8.670124699999974W	coordinates
41.54	12.3	41.54N;12.30E	coordinates
26.8957	122.0051	26.8957N;122.0051E	coordinates
38.55	-121.76	38.55N;121.76W	coordinates
49.26	-123.12	49.26N;123.12W	coordinates
38.8936613	-76.9878833	USA,DC	name
49.1977086	-123.1912406	USA,Richmond,VA	name
59.67497120000001	14.5208584	Sweden	name
39.3262345	-4.838064900000001	Spain	name
39.35	-120.32	39.35N;120.32W	coordinates
46.52	6.58	46.52N;6.58E	coordinates
46.5969028	125.1014811	China,Daqing	name
36.3420485	140.39843259999998	Japan,Ibaraki	name
34.5816245	135.4663956	Japan,Sakai City,Osaka prefecture	name
37.09	121.0	37.09N;121.00E	coordinates
33.909402	130.84774099999998	33.909402N;130.847741E	coordinates
53.68	-9.44	53.68N;9.44W	coordinates
47.4	8.6	47.4N;8.6E	coordinates
25.0	102.0	China,Yunnan Province	name
39.702907	119.16145	China,Hebei Qinhuangdao Changli	name
37.4	126.67	37.4N;126.67E	coordinates
31.52	117.16	31.52N;117.16E	coordinates
37.8851289	128.8260492	South Korea,Gangwondo	name
29.0000001	119.9999999	China,Zhejiang	name
-79.4063075	0.3149312	Antarctica	name
34.69686420000001	139.4049033	Japan,Tokyo	name
16.4913541	80.600482	India,Guntur,Andhra Pradesh	name
31.7	130.8	31.7N;130.8E	coordinates
35.0	119.3	35N;119.3E	coordinates
-35.0	147.0	35S;147E	coordinates
-32.054	150.859	32.054S;150.859E	coordinates
31.22	121.53	31.22N;121.53E	coordinates
-24.7761086	134.755	Australia	name
40.8	-96.667821	USA,Lincoln,NE	name
35.4342935	139.374753	Japan,Kanagawa	name
41.9	12.5	41.9N;12.5E	coordinates
27.7567667	-81.4639835	USA,Florida	name
42.98	141.24	42.98N;141.24E	coordinates
27.06	30.11	27.06N;30.11E	coordinates
23.1171311	113.32144840000002	China,Guangzhou,Guangdong	name
-28.506825	-59.044826	28.506825S;59.044826W	coordinates
35.6892	51.389	35.6892N;51.3890E	coordinates
38.27312	-98.5821872	USA,Kansas	name
44.99	-93.17000000000002	44.99N;93.17000000000002W	coordinates
61.0666922	-107.9917071	Canada	name
38.7251776	-105.6077167	USA,CO	name
21.0277	105.8341	21.0277N;105.8341E	coordinates
23.99	117.8	23.99N;117.8E	coordinates
5.323023	100.303392	5.323023N;100.303392E	coordinates
55.65719	12.47364	Denmark,near Hvidovre	name
36.0	96.0	China,Qinghai province	name
55.6441712	12.4772091	Denmark,Hvidovre	name
36.5581914	127.9408564	Korea	name
40.0796606	-89.4337288	USA,IL	name
22.5445697	114.0545346	China,Shenzhen	name
-36.5986096	144.6780052	Australia,Victoria	name
32.9715645	-89.7348497	USA,Mississippi	name
54.4313	160.1334	54.4313N;160.1334E	coordinates
50.4756986	5.5748498	Belgium,Comblain-au-Pont	name
60.1674086	24.9425683	Finland,Helsinki	name
47.4708527	8.4026156	Switzerland,Boppelsen	name
65.0	-18.0	South Korea,Cheju Island	name
30.4960087	114.15828590000002	China,Caidian District,Wuhan,Hubei	name
-19.49	132.55	19.49S;132.55E	coordinates
51.51	-0.13	51.51N;0.13W	coordinates
42.36	-71.05	42.36N;71.05W	coordinates
10.77	106.68	10.77N;106.68E	coordinates
-34.9964963	-64.9672817	Argentina	name
46.603354	1.8883335	France	name
34.928515999999995	134.44536200000002	34.928516N;134.445362E	coordinates
35.0	134.5	35.0N;134.5E	coordinates
35.991687	140.359492	Japan,Ibaraki,Lake Kasumigaura	name
28.4704064	119.9184297	China,Lishui	name
29.35	106.33	29.35N;106.33E	coordinates
18.0	100.0	18N;100E	coordinates
36.0	124.0	China,Yellow Sea	name
-5.77926	-35.2009	5.77926S;35.2009W	coordinates
47.5	7.6	47.5N;7.6E	coordinates
49.8167003	15.4749544	Czech Republic	name
14.8971921	100.83273	Thailand	name
22.3511148	78.6677428	India	name
33.3128	44.3615	33.3128N;44.3615E	coordinates
64.6863136	97.7453061	Russia	name
48.74115220000001	19.4528646	Slovakia	name
-19.920833	-43.937778	19.920833S;43.937778W	coordinates
-37.4713	144.7852	37.4713S;144.7852E	coordinates
29.97	91.11	29.97N;91.11E	coordinates
