BIOSAMPLE_attribute,synonyms,description
age,,"age at the time of sampling; relevant scale depends on species and study, e.g. could be seconds for amoebae or centuries for trees"
animal_env,{'animal_env'},"The environment from which the animal sample was taken, e.g., veterinary clinic"
beta_lactamase_family,{'beta_lactamase_family'},Specify the beta-lactamase family for this gene.
bio_material,"{'biomaterial', 'bio_material'}",Identifier for the biological material from which the nucleic acid sequenced was obtained.
biol_stat,{'biol_stat'},"The level of genome modification, e.g., wild, natural, semi-natural, inbred line, breeder's line, hybrid, clonal selection, mutant"
biotic_regm,{'biotic_regm'},"Information about treatment(s) involving use of biotic factors, such as bacteria, viruses or fungi"
biotic_relationship,{'biotic_relationship'},Free-living or from host (define relationship)
biovar,,A biovar is a variant prokaryotic strain that differs physiologically and/or biochemically from other strains in a particular species.
breed,,breed name - chiefly used in domesticated animals or plants
carbapenemase,,"Does the enzyme exhibit carbapenemase activity? If the enzyme does exhibit carbapenemase activity, the response should be ""yes"", otherwise ""no."""
cell_type,"{'tissue/cell_type', 'disease/cell_type', 'developmental_stage/cell_type', 'cell_type', 'celltype'}",Type of cell of the sample or from which the sample was obtained.
coll_site_geo_feat,{'coll_site_geo_feat'},"Text or terms that describe the geographic feature where the food sample was obtained by the researcher. This field encourages selected terms listed under the following ontologies: anthropogenic geographic feature (http://purl.obolibrary.org/obo/ENVO_00000002), for example agricultural fairground [ENVO:01000986]; garden [ENVO:00000011} or any of its subclasses; market [ENVO:01000987]; water well [ENVO:01000002]; or human construction (http://purl.obolibrary.org/obo/ENVO_00000070), e.g., grocery store [GENEPIO:0001020]"
cur_vegetation,{'cur_vegetation'},"vegetation classification from one or more standard classification systems, or agricultural crop"
description,"{'description', 'sample_description'}",
disease,"{'disease', 'disease_stat', 'diseases', 'disease_state', 'disease_status'}","list of diseases diagnosed; can include multiple diagnoses. the value of the field depends on host; for humans the terms should be chosen from DO (Disease Ontology), free text for non-human. For DO terms, please see http://gemina.svn.sourceforge.net/viewvc/gemina/trunk/Gemina/ontologies/gemina_symptom.obo?view=log"
edta_inhibitor_tested,{'edta_inhibitor_tested'},"Was carbapenemase activity tested in the presence of EDTA? If carbapenemase activity was tested in the presence of EDTA, the response should be ""yes"", otherwise ""noâ."
encoded_traits,,Traits like antibiotic resistance/xenobiotic degration phenotypes/converting phage genes
env_broad_scale,"{'env_broad_range', 'env_broad_scale', 'biome', 'environment_(biome)', 'env_biome', 'environment_biome', 'broad_scale_environmental_context'}",Add terms that identify the major environment type(s) where your sample was collected. Recommend subclasses of biome [ENVO:00000428]. Multiple terms can be separated by one or more pipes e.g.: Â mangrove biome [ENVO:01000181]|estuarine biome [ENVO:01000020]
env_local_scale,"{'environment_feature', 'env_local_scale', 'environment_(feature)', 'env_feature', 'local_scale_environmental_context', 'feature', 'env_local_range'}","Add terms that identify environmental entities having causal influences upon the entity at time of sampling, multiple terms can be separated by pipes, e.g.: Â shoreline [ENVO:00000486]|intertidal zone [ENVO:00000316]"
