"query","tags","ONTOLOGY_ID","ONTOLOGY_term","eval","score","method","version","to_check"
"1 week",,-1,,1,-1,"not_assigned",2024,"False"
42,,-1,,0,-1,"manual",2024,"False"
80,,-1,,0,-1,"manual",2024,"False"
"a. baumannii bacteremia","disease","DOID:3091","acinetobacter infectious disease",1,-1,"manual",2024,"False"
"a. baumannii bacteremia ( catheterrealated infection )","disease","DOID:3091","acinetobacter infectious disease",0,-1,"manual",2024,"False"
"a. baumannii bacteremia ( pneumoniarealated infection )","disease","DOID:3091,DOID:552",,0,-1,"manual",2024,"False"
"a. baumannii infection","disease","DOID:3091","acinetobacter infectious disease",1,-1,"manual",2024,"False"
"abdominal abscess","symptom","SYMP:0000672",,1,100,"token_set_ratio,term",2024,"False"
"abdominal infection","disease","DOID:0050117","disease infectious agent",1,-1,"manual",2024,"False"
"abdominal pain","symptom","SYMP:0000457","abdominal pain",1,100,"exact,term",2024,"False"
"abdominal pain , vomiting , bloody diarrhea","disease","SYMP:0000457,SYMP:0000457,DOID:13250,SYMP:0000457","diarrhea",0,-1,"manual",2024,"True"
"abomasitis , enteritis , peritonitis","disease","DOID:10690,SYMP:0000039,DOID:8283","peritonitis",0,-1,"manual",2024,"True"
"abortion","symptom","SYMP:0000197","abortion",1,100,"exact,term",2024,"False"
"abscess","symptom","SYMP:0000672","abscess",1,100,"exact,term",2024,"False"
"abscess neck","symptom","SYMP:0000672","abscess",1,100,"token_set_ratio,term",2024,"False"
"acinetobacter baumannii osteomyelitis","disease","DOID:1019,DOID:3091","osteomyelitis",0,-1,"manual",2024,"True"
"acinetobacter baumannii skin abscess infection","symptom","SYMP:0000672,DOID:3091,DOID:37","abscess",0,-1,"manual",2024,"False"
"acinetobacter blood infection","disease","DOID:3091",,0,-1,"manual",2024,"False"
"acinetobacter colonization","disease","DOID:3091","acinetobacter infectious disease",1,-1,"manual",2024,"False"
"acinetobacter infection","disease","DOID:3091","acinetobacter infectious disease",1,-1,"manual",2024,"False"
"acinetobacter infections","disease","DOID:3091","acinetobacter infectious disease",1,-1,"manual",2024,"False"
"acne vulgaris","disease","DOID:6543","acne",1,100,"wratio,exact_synonym",2024,"False"
"acute",,-1,,0,-1,"manual",2024,"False"
"acute & chronic respiratory failure , septicemia , malignant neoplasm , acute kidney failure , tobacco use disorder , prediabetes , hyperlipidemia , pvd , copd","disease","DOID:11162,SYMP:0019148,DOID:162,DOID:1074,DOID:0050742,DOID:11716,DOID:3146,DOID:341,DOID:3083","respiratory failure",1,-1,"manual",2024,"True"
"acute appendicitis","disease","DOID:8337","appendicitis",1,100,"wratio,exact_synonym",2024,"False"
"acute cerebral infarction","disease","DOID:3526","cerebral infarction",1,95,"wratio,term",2024,"False"
"acute cholangitis","disease","DOID:14271","acute cholangitis",1,100,"exact,term",2024,"False"
"acute cholecystitis","disease","DOID:1949","cholecystitis",1,95,"wratio,term",2024,"False"
"acute chronic respiratory failure","disease","DOID:11162","respiratory failure",1,95,"wratio,exact_synonym",2024,"False"
"acute cystitis","disease","DOID:13148","acute cystitis",1,100,"exact,term",2024,"False"
"acute enteritis","symptom","SYMP:0000676,DOID:5295","acute enteritis",0,-1,"manual",2024,"True"
"acute exacerbation chronic kidney disease","disease","DOID:557","kidney disease",1,100,"token_set_ratio,term",2024,"False"
"acute febrile illness","symptom","SYMP:0000613",,0,-1,"manual",2024,"False"
"acute gastroenteritis","disease","DOID:2326",,1,95,"wratio,term",2024,"False"
"acute hepatopancreatic necrosis disease","disease","DOID:0080998","acute necrotizing pancreatitis",0,-1,"manual",2024,"False"
"acute infection stage","disease","DOID:0050117","disease infectious agent",0,-1,"manual",2024,"False"
"acute kidney injury","disease","DOID:552","pneumonia",0,-1,"manual",2024,"False"
"acute leukemia , pneumonia","disease","DOID:1240,DOID:552","pneumonia",0,-1,"manual",2024,"False"
"acute leukemia, pneumonia","disease","DOID:1240,DOID:552","leukemia,pneumonia",0,-1,"manual",2024,"False"
"acute liver failure","disease","DOID:409",,0,-1,"manual",2024,"False"
"acute lymphoblastic leukemia","disease","DOID:9952","acute lymphoblastic leukemia",1,100,"exact,term",2024,"False"
"acute lymphocytic leukemia","disease","DOID:5604","tcell adult acute lymphocytic leukemia",0,-1,"manual",2024,"False"
"acute myeloid leukemia m2","disease","DOID:9119","acute myeloid leukemia",1,95,"wratio,term",2024,"False"
"acute otitis","disease","DOID:3697","acute transudative otitis medium",1,100,"token_set_ratio,term",2024,"True"
"acute otitis externa","disease","DOID:9463","otitis externa",1,95,"wratio,term",2024,"False"
"acute otitis media","disease","DOID:11557","acute serous otitis medium",0,95,"wratio,term",2024,"False"
"acute otitis medium","disease","DOID:10754","otitis medium",1,95,"wratio,term",2024,"False"
"acute pancreatitis","disease","DOID:2913","acute pancreatitis",1,100,"exact,term",2024,"False"
"acute pancreatitis and catheter related blood stream infection","disease","DOID:2913",,1,100,"token_set_ratio,term",2024,"False"
"acute pancreatitis catheter related blood stream infection","disease","DOID:4989,DOID:0050117","pancreatitis",0,-1,"manual",2024,"True"
"acute pneumonia","disease","DOID:552","pneumonia",1,100,"wratio,exact_synonym",2024,"False"
"acute pyelonephritis","disease","DOID:559","acute pyelonephritis",1,100,"exact,term",2024,"False"
"acute respiratory failure","disease","DOID:11162","respiratory failure",1,95,"wratio,term",2024,"False"
"acute severe pancreatitis","disease","DOID:2913","acute pancreatitis",1,95,"wratio,term",2024,"False"
"acute toxic encephalopathy","disease","DOID:3602",,1,95,"wratio,term",2024,"False"
"acute typhoid fever","disease","DOID:13258","typhoid fever",1,95,"wratio,term",2024,"False"
"acute upper respiratory infection","disease","DOID:1579","respiratory system disease",1,-1,"manual",2024,"False"
"acute white blood cell","symptom","SYMP:0000634","leukocytosis",0,-1,"manual",2024,"False"
"adeno carcinoma ascending colon","disease","DOID:1520","colon carcinoma",1,100,"token_set_ratio,term",2024,"True"
"adeno carcinoma stage 2","disease","DOID:305","carcinoma",1,100,"token_set_ratio,term",2024,"True"
"adult",,-1,,0,-1,"manual",2024,"False"
"adult periodontitis","disease","DOID:824","periodontitis",1,95,"wratio,term",2024,"False"
"advanced rectal cancer","disease","DOID:1993","cancer",0,-1,"manual",2024,"False"
"aesthetic urinary tract effection","disease","DOID:0080784",,1,-1,"manual",2024,"False"
"ahpnd","disease","DOID:0080998",,1,-1,"manual",2024,"False"
"aid , disseminated mac","disease","DOID:635,DOID:2755","acquired immunodeficiency syndrome,mycobacterium avium complex disease",0,-1,"manual",2024,"False"
"alcoholic associated liver desease","disease","DOID:14018",,0,-1,"manual",2024,"False"
"alzheimer disease","disease","DOID:10652","alzheimers disease",1,97.1428571428571,"wratio,term",2024,"False"
"alzheimers disease","disease","DOID:10652","alzheimers disease",1,100,"exact,term",2024,"False"
"aml","disease","DOID:9119","acute myeloid leukemia",1,100,"token_set_ratio,exact_synonym",2024,"False"
"anemic syndrome","disease","DOID:2355","syndrome",0,-1,"manual",2024,"False"
"aneurism","disease","DOID:0050828",,0,-1,"manual",2024,"False"
"angina pectoris","disease","DOID:0111151","prinzmetal angina",0,-1,"manual",2024,"False"
"anoxic brain damage","disease","DOID:6713",,0,-1,"manual",2024,"False"
"anthrax","disease","DOID:7427","anthrax disease",1,100,"token_set_ratio,term",2024,"False"
"anthrax disease","disease","DOID:7427","anthrax disease",1,100,"exact,term",2024,"False"
"aortic dissecting aneurysm","disease","DOID:3627","aortic aneurysm",1,100,"token_set_ratio,term",2024,"False"
"aortic dissection surgery","disease","DOID:0080685","aortic dissection",1,95,"wratio,term",2024,"False"
"aortitis infection","disease","DOID:519","aortitis",1,100,"token_set_ratio,term",2024,"False"
"apparent health","healthy",-1,,1,-1,"not_assigned",2024,"False"
"appendicitis","disease","DOID:8337","appendicitis",1,100,"exact,term",2024,"False"
"arthritis","disease","DOID:848","arthritis",1,100,"exact,term",2024,"False"
"ascites examined","symptom","SYMP:0000526","ascites",1,100,"token_set_ratio,term",2024,"False"
"ascites to be examined","symptom","SYMP:0000526","ascites",0,-1,"manual",2024,"False"
"ascitis","symptom","SYMP:0000526",,0,-1,"manual",2024,"False"
"aspiration pneumonia , respiratory failure , cerebral infarction","disease","DOID:0050152,DOID:6713,DOID:11162","pneumonia",0,-1,"manual",2024,"True"
"aspiration pneumonia, respiratory failure, cerebral infarction","disease","DOID:552,DOID:11162,DOID:3526","pneumonia,respiratory failure,cerebral infarction",0,-1,"manual",2024,"False"
"asthma","disease","DOID:2841","asthma",1,100,"exact,term",2024,"False"
"asymptomatic","healthy",-1,,1,-1,"manual",2024,"False"
"asymptomatic carriage",,-1,,1,,"not_assigned",2024,"False"
"asymptomatic carrier","healthy",-1,,1,-1,"not_assigned",2024,"False"
"asymptomatic uti","disease","DOID:0080784","urinary tract infection",0,100,"token_set_ratio,exact_synonym",2024,"False"
"atherosclerosis","disease","DOID:1936","atherosclerosis",1,100,"exact,term",2024,"False"
"atopic dermatitis","disease","DOID:3310","atopic dermatitis",1,100,"exact,term",2024,"False"
"atrophic gastritis","disease","DOID:8929","atrophic gastritis",1,100,"exact,term",2024,"False"
"aural infection","disease","DOID:2742,DOID:0050117","auditory system disease,disease infectious agent",0,-1,"manual",2024,"False"
"available : reported later",,-1,,1,-1,"not_assigned",2024,"False"
"avian colibacillosis","disease","DOID:104","bacterial infectious disease",1,-1,"manual",2024,"False"
"avian spirochetosis","disease","DOID:104","bacterial infectious disease",0,-1,"manual",2024,"False"
"bacillary necrosis","disease,symptom","SYMP:0000132,DOID:104","necrosis,bacterial infectious disease",0,-1,"manual",2024,"False"
"bacillus cereus splenitis","disease","DOID:2529,DOID:104","splenic disease,bacterial infectious disease",0,-1,"manual",2024,"False"
"bacteremia","disease","DOID:104",,0,-1,"manual",2024,"False"
"bacteremia , intraabdominal abscess","symptom,disease","SYMP:0000672,DOID:104","abscess",1,100,"token_set_ratio,term",2024,"True"
"bacteremia associated chorioamnionitis/endometritis","disease","DOID:0050697,DOID:1002,DOID:104","chorioamnionitis,endometritis,bacterial infectious disease",0,-1,"manual",2024,"False"
"bacteremia v contaminant","disease","DOID:104","bacterial infectious disease",0,-1,"manual",2024,"False"
"bacteremia vs contaminant","disease","DOID:0050117",,1,-1,"manual",2024,"False"
"bacteria infection","disease","DOID:104","bacterial infectious disease",0,-1,"manual",2024,"False"
"bacterial canker","disease","DOID:104","bacterial infectious disease",1,-1,"manual",2024,"False"
"bacterial cholangitis","disease","DOID:9446,DOID:104","cholangitis,bacterial infectious disease",0,-1,"manual",2024,"False"
"bacterial infection","disease","DOID:104",,1,-1,"manual",2024,"False"
"bacterial infections","disease","DOID:104","bacterial infectious disease",1,-1,"manual",2024,"False"
"bacterial infectious disease","disease","DOID:104","bacterial infectious disease",1,100,"exact,term",2024,"False"
"bacterial leaf spot lettuce","disease","DOID:104",,0,-1,"manual",2024,"False"
"bacterial leaf spot of lettuce","disease","DOID:104",,1,-1,"manual",2024,"False"
"bacterial leaf streak","disease","DOID:104","bacterial infectious disease",1,-1,"manual",2024,"False"
"bacterial pneumonia","disease","DOID:874","bacterial pneumonia",1,100,"exact,term",2024,"False"
"bacterial pustule soybean","symptom,disease","SYMP:0019167,DOID:104","pustule,bacterial infectious disease",0,-1,"manual",2024,"False"
"bacterial sepsis","disease","DOID:0040085","bacterial sepsis",1,100,"exact,term",2024,"False"
"bacterimia","disease","DOID:104","bacterial infectious disease",0,-1,"manual",2024,"False"
"bacteriuria","disease","DOID:1412","bacteriuria",1,100,"exact,term",2024,"False"
"bacteroides infection","disease","DOID:104",,0,-1,"manual",2024,"False"
"bacteroides infections","disease","DOID:104","bacterial infectious disease",1,-1,"manual",2024,"False"
"bartonellosis","disease","DOID:11102","bartonellosis",1,100,"exact,term",2024,"False"
"benign prostatic hyperplasia","disease","DOID:47","prostate disease",1,-1,"manual",2024,"False"
"bilateral pneumoniacovid19","disease","DOID:10533,DOID:10533",,0,-1,"manual",2024,"False"
"bile duct obstruction","disease","DOID:13580",,1,95,"wratio,exact_synonym",2024,"False"
"bile duct perforation","disease","DOID:13409","perforation bile duct",1,95,"wratio,term",2024,"False"
"biliary acute pancreatitis","disease","DOID:2913","acute pancreatitis",1,95,"wratio,term",2024,"False"
"biliary tract disease","disease","DOID:9741","biliary tract disease",1,100,"exact,term",2024,"False"
"biliary tract diseases","disease","DOID:9741","biliary tract disease",0,100,"exact,term",2024,"False"
"biliary tract infection","disease","DOID:9741,DOID:0050117",,0,-1,"manual",2024,"False"
