"BIOSAMPLE_UID","ECOSYSTEM_query","ECOSYSTEM_tags","ECOSYSTEM_taxid","ECOSYSTEM_check"
41414985,,,-1,"False"
39984965,,,-1,"False"
41315730,,,-1,"False"
19793527,,,-1,"False"
19793570,,,-1,"False"
19793571,,,-1,"False"
19793526,,,-1,"False"
19793519,,,-1,"False"
19794800,,,-1,"False"
19794777,,,-1,"False"
19794778,,,-1,"False"
19793534,,,-1,"False"
19793564,,,-1,"False"
19794784,,,-1,"False"
40123130,,,-1,"False"
19794779,,,-1,"False"
19793544,,,-1,"False"
19793565,,,-1,"False"
19793549,,,-1,"False"
19794794,,,-1,"False"
40123227,,,-1,"False"
19793548,,,-1,"False"
19793572,,,-1,"False"
19794795,,,-1,"False"
19793537,,,-1,"False"
19794789,,,-1,"False"
19794793,,,-1,"False"
19793559,,,-1,"False"
19793543,,,-1,"False"
19793516,,,-1,"False"
19794791,,,-1,"False"
19793578,,,-1,"False"
19793539,,,-1,"False"
19794788,,,-1,"False"
19793532,,,-1,"False"
19793529,,,-1,"False"
19793514,,,-1,"False"
19794782,,,-1,"False"
19794786,,,-1,"False"
19793525,,,-1,"False"
19793523,,,-1,"False"
19793576,,,-1,"False"
19794775,,,-1,"False"
19794785,,,-1,"False"
3266373,,,-1,"False"
34163920,,,-1,"False"
39511944,,,-1,"False"
39511941,,,-1,"False"
39511945,,,-1,"False"
39511936,,,-1,"False"
39511942,,,-1,"False"
39511932,,,-1,"False"
39511930,,,-1,"False"
39511931,,,-1,"False"
39511940,,,-1,"False"
39511938,,,-1,"False"
39511929,,,-1,"False"
39511939,,,-1,"False"
39511943,,,-1,"False"
41129001,,,-1,"False"
21040479,,,-1,"False"
41064436,,,-1,"False"
30881388,,,-1,"False"
33761289,,,-1,"False"
41028361,,,-1,"False"
40861423,,,-1,"False"
41037622,,,-1,"False"
30275180,,,-1,"False"
40703586,,,-1,"False"
40912993,,,-1,"False"
40122666,,,-1,"False"
39735802,,,-1,"False"
39735790,,,-1,"False"
39735799,,,-1,"False"
40122667,,,-1,"False"
40122664,,,-1,"False"
39735797,,,-1,"False"
39735798,,,-1,"False"
39735791,,,-1,"False"
40122663,,,-1,"False"
40122665,,,-1,"False"
39735796,,,-1,"False"
40448143,,,-1,"False"
40302848,,,-1,"False"
33790390,,,-1,"False"
33790392,,,-1,"False"
40605261,,,-1,"False"
40557412,,,-1,"False"
40870507,,,-1,"False"
13922457,,,-1,"False"
40537137,,,-1,"False"
40560783,,,-1,"False"
40242616,,,-1,"False"
40548087,,,-1,"False"
38711225,,,-1,"False"
38237301,,,-1,"False"
38237304,,,-1,"False"
33790406,,,-1,"False"
38237303,,,-1,"False"
33790402,,,-1,"False"
33790393,,,-1,"False"
33790394,,,-1,"False"
33790400,,,-1,"False"
33790398,,,-1,"False"
33790405,,,-1,"False"
33790396,,,-1,"False"
35768725,,,-1,"False"
33790401,,,-1,"False"
33790391,,,-1,"False"
33790395,,,-1,"False"
33790399,,,-1,"False"
33790407,,,-1,"False"
33790403,,,-1,"False"
33790404,,,-1,"False"
40191287,,,-1,"False"
40240783,,,-1,"False"
38689030,,,-1,"False"
1112590,,,-1,"False"
1112512,,,-1,"False"
1112701,,,-1,"False"
39979237,,,-1,"False"
39899946,,,-1,"False"
9604673,,,-1,"False"
39898954,,,-1,"False"
38199987,,,-1,"False"
39899836,,,-1,"False"
39878303,,,-1,"False"
35731342,,,-1,"False"
37551852,,,-1,"False"
37551854,,,-1,"False"
37551853,,,-1,"False"
39744682,,,-1,"False"
37709178,,,-1,"False"
39744721,,,-1,"False"
39744798,,,-1,"False"
39744893,,,-1,"False"
37551855,,,-1,"False"
39744748,,,-1,"False"
37551850,,,-1,"False"
39631675,,,-1,"False"
