"query","method","eval","tags","version","source","TAXONOMY_UID"
"1 monthold","not_assigned",1,,20231103,"IsolationSource",-1
"1 monthold fish sauce mash","ete4,inmapping,token_set_ratio",1,"host_associated",2024,"type",7742
"10 week","not_assigned",1,,20231103,"IsolationSource",-1
"10 week old 45+ samso cheese","ete4,inmapping,token_set_ratio",1,"food,fermented",2024,"type",-1
"10 week old samso 45+ cheese","ete4,inmapping,token_set_ratio",1,"food,fermented",2024,"type",-1
"10 year old rusty ginseng root","ete4,inmapping,token_set_ratio",0,"soil,rhizosphere",2024,"type",-1
1012,"not_assigned",1,,20231103,"IsolationSource",-1
"11e02380","not_assigned",1,,"20231103_v2","IsolationSource",-1
"12_bacterial cell culture","ete4,inmapping,token_set_ratio",0,"cell_culture",2024,"type",-1
"150 km","not_assigned",1,,20231103,"IsolationSource",-1
"150 km offshore","ete4,inmapping,token_set_ratio",0,,2024,"type",-1
"15_bacterial cell culture","ete4,inmapping,token_set_ratio",1,"cell_culture",2024,"type",-1
"16yearold boy bubonic plague","ete4,token_set_ratio,common",0,"host_associated,disease",2024,"type",9606
"17 yearold male","ete4,token_set_ratio,common",1,"host_associated",2024,"type",9606
1751,"ete4,token_set_ratio,sci",0,,2024,"type",-1
"1_bacterial cell culture","ete4,inmapping,token_set_ratio",1,"cell_culture",2024,"type",-1
"2 mrad irradiated bombay duck","ete4,token_set_ratio,common",0,"host_associated,location",2024,"type",435155
"2018 ( ceuta )","not_assigned",0,"location",2024,"type",-1
"2022jq00300","not_assigned",0,,2024,"type",-1
"2023jq00005","not_assigned",0,,2024,"type",-1
"2023jq00025","not_assigned",0,,2024,"type",-1
"2023jq00054","not_assigned",0,,2024,"type",-1
"26year old man implant associated osteitis","not_assigned",0,"host_associated,disease",2024,"type",9606
"37662wt","not_assigned",1,,20231103,"IsolationSource",-1
"42year old female","ete4,token_set_ratio,common",1,"host_associated",2024,"type",9606
"46 year old child healthy oral","ete4,inmapping,token_set_ratio",0,"host_associated,oral",2024,"type",9606
"5_bacterial cell culture","ete4,inmapping,token_set_ratio",0,"cell_culture",2024,"type",-1
"72yearold male cerebral infarction colon carcinoma resection","ete4,inmapping,token_set_ratio",0,"host_associated,disease",2024,"type",9606
"83year old woman hip prosthesis infection","ete4,inmapping,token_set_ratio",0,"host_associated,disease",2024,"type",9606
"83yearold man","not_assigned",0,"host_associated",2024,"type",9606
"88year old man presenting knee prosthesis infection","ete4,inmapping,token_set_ratio",0,"host_associated,disease",2024,"type",9606
"9 year old girl suffering paratyphoid fever","ete4,inmapping,wratio",1,"host_associated,disease",2024,"type",9606
"a children's rocking car","not_assigned",0,"anthropogenic",2024,"type",-1
"abdomen","not_assigned",0,"host_associated,abdominal",2024,"type",-1
"abdominal","ete4,inmapping,token_set_ratio",0,"host_associated,abdominal",2024,"type",-1
"abdominal abscess","ete4,inmapping,token_set_ratio",1,"host_associated,abdominal",2024,"type",-1
"abdominal ascites fluid","ete4,inmapping,token_set_ratio",0,"host_associated,abdominal,disease",2024,"type",-1
"abdominal content antarctic fish","ete4,inmapping,token_set_ratio",0,"host_associated,abdominal,location",2024,"type",7742
"abdominal drain fluid","ete4,inmapping,token_set_ratio",0,"host_associated,abdominal",2024,"type",-1
"abdominal drainage","ete4,inmapping,token_set_ratio",0,"host_associated,abdominal",2024,"type",-1
"abdominal drainage fluid","ete4,inmapping,token_set_ratio",0,"host_associated,abdominal",2024,"type",-1
"abdominal effusion","ete4,inmapping,token_set_ratio",0,"host_associated,abdominal",2024,"type",-1
"abdominal fluid","ete4,inmapping,token_set_ratio",0,"host_associated,abdominal",2024,"type",-1
"abdominal fluid jp drain","ete4,inmapping,token_set_ratio",0,"host_associated,abdominal",2024,"type",-1
"abdominal pu","ete4,inmapping,wratio",1,"host_associated,abdominal",2024,"type",-1
"abdominal wound","not_assigned",1,"host_associated,wound","20231103_v2","IsolationSource",-1
"abdominal wound swab","ete4,inmapping,wratio",1,"host_associated,wound",2024,"type",-1
"abies nordmanniana","fuzzy_sci",1,"host_associated",20231103,"IsolationSource",97177
"aborted bovine fetus , brain","ete4,token_set_ratio,common",0,"host_associated,nervous_system",2024,"type",9913
"aborted placenta","ete4,token_set_ratio,sci",0,"host_associated,aborted placenta",2024,"type",-1
"abs/pus/wd","not_assigned",0,"host_associated,wound",2024,"type",-1
"abscess","ete4,inmapping,token_set_ratio",1,"host_associated,abscess",2024,"type",-1
"abscess ( lymph node )","ete4,inmapping,token_set_ratio",1,"host_associated,abscess",2024,"type",-1
"abscess drainage liquid","ete4,inmapping,token_set_ratio",1,"host_associated,abscess",2024,"type",-1
"abscess lower extremity","ete4,inmapping,token_set_ratio",1,"host_associated,abscess",2024,"type",-1
"abscess swab","ete4,inmapping,token_set_ratio",1,"host_associated,abscess",2024,"type",-1
"ac condensate","not_assigned",1,"aquatic,anthropogenic",20231103,"IsolationSource",-1
"acaciella angustissima","ete3",1,"host_associated",20231103,"Host",468212
"acanthamoeba","ete3",1,"host_associated",20231103,"Host",5754
"acanthamoeba castellanii","ete3",1,"host_associated",20231103,"Host",5755
"acanthamoeba polyphaga hn3","fuzzy_sci",1,"host_associated",20231103,"Host",5757
"acer palmatum","ete3",1,"host_associated",20231103,"Host",66201
"achillea ptarmica","ete3",1,"host_associated",20231103,"Host",133233
"acid mine","not_assigned",1,"aquatic,watercourse,acid_mine",20231103,"IsolationSource",-1
"acid mine decant tailing uranium mine","ete4,inmapping,token_set_ratio",0,"aquatic,watercourse,acid_mine",2024,"type",-1
"acid mine drainage","ete4,inmapping,token_set_ratio",0,"aquatic,watercourse,acid_mine",2024,"type",-1
"acid mine drainage sediment","environmental",1,"aquatic,watercourse,sediment",20231103,"IsolationSource",-1
"acid mine water","environmental",1,"aquatic,watercourse,acid_mine",20231103,"IsolationSource",-1
"acid mining","not_assigned",1,"aquatic,watercourse,acid_mine",20231103,"IsolationSource",-1
"acid mining effluent decantation pond","environmental",1,"aquatic,watercourse,acid",20231103,"IsolationSource",-1
"acidic hot","not_assigned",1,"aquatic,freshwater,spring,acid_hot",20231103,"IsolationSource",-1
"acidic hot spring","ete4,inmapping,token_set_ratio",1,"aquatic,freshwater,spring,acid_hot",2024,"type",-1
"acidic mine water","ete4,inmapping,wratio",1,"aquatic,watercourse,acid_mine",2024,"type",-1
"acidic salty water","ete4,inmapping,token_set_ratio",0,"aquatic,saline",2024,"type",-1
"acidic wetland","not_assigned",1,"wetland,bog",20231103,"IsolationSource",-1
"acidovorax temperans strain lmj isolated contaminated tris acetate phosphate ( tap ) medium culture plate green microalga chlamydomonas reinhardtii strain , lmj.sg0182 ( a chlamydomonas library project ( clip ) strain )","ete4,inmapping,token_set_ratio",0,"cell_culture",2024,"type",-1
"acipenser sinensis","ete3",1,"host_associated",20231103,"IsolationSource",61970
"acmispon strigosus","ete3",1,"host_associated",20231103,"Host",1240363
"acne pustule","not_assigned",0,"host_associated,skin,wound",2024,"type",-1
"acrocephalus scirpaceus","ete4,exact",1,"host_associated",2024,"type",48156
"acromis sparsa","ete3",1,"host_associated",20231103,"Host",111205
"actimel product","ete4,inmapping,token_set_ratio",0,"food,drink",2024,"type",-1
"actinidia","ete3",1,"host_associated",20231103,"Host",3624
"actinidia chinensis","ete3",1,"host_associated",20231103,"Host",3625
"actinidia deliciosa","ete3",1,"host_associated",20231103,"Host",3627
"actinidia deliciosa hayward","fuzzy_sci",1,"host_associated",20231103,"Host",3627
"actinidia sp .","manual",0,"host_associated",2024,"host_name",3624
"activated carbon metagenome","not_assigned",1,"material,organic",20231103,"IsolationSource",-1
"activated charcoal","not_assigned",0,"material,organic",2024,"type",-1
"activated sludge","ete3",1,"host_associated",20231103,"Host",942017
"activated sludge , wastewater treatment plant","ete4,inmapping,token_set_ratio",0,"wastewater,sludge,activated_sludge",2024,"type",-1
"activated sludge harbin taiping wastewater treatment plant","ete4,inmapping,token_set_ratio",0,"wastewater,sludge,activated_sludge,location",2024,"type",-1
"activated sludge lab","ete4,inmapping,wratio",1,"wastewater,sludge,activated_sludge",2024,"type",942017
"activated sludge municipal wastewater treatment plant klosterneuburg , austria .","ete4,inmapping,token_set_ratio",0,"wastewater,sludge,activated_sludge",2024,"type",-1
"activated sludge pharmaceutical waste shaoxing china","ete4,inmapping,wratio",1,"wastewater,sludge,activated_sludge,location",2024,"type",-1
"activated sludge sample wastewater treatment plant ( wwtp ) conventional activated sludge process","ete4,inmapping,token_set_ratio",0,"wastewater,sludge,activated_sludge",2024,"type",-1
"activated sludge wastewater treatment facility","ete4,inmapping,token_set_ratio",0,"wastewater,sludge,activated_sludge",2024,"type",-1
"activated sludge wastewater treatment plant","ete4,inmapping,token_set_ratio",0,"wastewater,sludge,activated_sludge",2024,"type",-1
"active sludge","not_assigned",1,"wastewater,sludge,activated_sludge",20231103,"IsolationSource",-1
"active sludge around pharmaceutical factory","ete4,inmapping,token_set_ratio",0,"wastewater,sludge,activated_sludge",2024,"type",-1
"acute appendicitis","not_assigned",1,"host_associated,gastrointestinal_system,disease",20231103,"IsolationSource",-1
"acyrthosiphon caraganae","ete3",1,"host_associated",20231103,"Host",527513
"acyrthosiphon kondoi","ete3",1,"host_associated",20231103,"Host",34664
"acyrthosiphon pisum","ete3",1,"host_associated",20231103,"Host",7029
"adelges cooleyi","ete3",1,"host_associated",20231103,"Host",133065
"adelges lariciatus","ete3",1,"host_associated",20231103,"Host",419079
"adenocarcinoma cecum","not_assigned",1,"host_associated,gastrointestinal_system,cecal,disease",20231103,"IsolationSource",-1
"adenocarcinoma distal colon","ete4,inmapping,token_set_ratio",0,"host_associated,gastrointestinal_system,disease",2024,"type",-1
"adenophora trachelioides maxim .","fuzzy_sci",1,"host_associated","20231103_v2","Host",226227
"adipose","ete4,inmapping,token_set_ratio",0,"host_associated",2024,"type",-1
"adult","not_assigned",1,"host_associated",20231103,"IsolationSource",-1
"adult feces","ete4,inmapping,token_set_ratio",0,"host_associated,gastrointestinal_system,fecal",2024,"type",9606
"adult female","ete4,inmapping,token_set_ratio",0,"host_associated",2024,"type",9606
"adult insect mentha x piperita","ete4,inmapping,token_set_ratio",0,"host_associated",2024,"type",34256
"adult insect panicum virgatum","ete4,inmapping,token_set_ratio",0,"host_associated",2024,"type",38727
"adult insect robinia pseudoacacia","ete4,inmapping,token_set_ratio",1,"host_associated",2024,"type",35938
"adult insect sorghum bicolor","ete4,inmapping,token_set_ratio",0,"host_associated",2024,"type",4558
"adult insect urtica dioica","ete4,inmapping,token_set_ratio",0,"host_associated",2024,"type",3501
"adult male sputum","ete4,inmapping,token_set_ratio",1,"host_associated,respiratory_system",2024,"type",9606
"aedes aegypti","ete3",1,"host_associated",20231103,"Host",7159
"aedes albopictus","ete3",1,"host_associated",20231103,"Host",7160
"aepyceros melampus","ete3",1,"host_associated","20231103_v2","Host",9897
"aerial root","ete4,inmapping,token_set_ratio",0,"soil,rhizosphere",2024,"type",-1
"aerial tumor","not_assigned",0,"host_associated,gaseous,disease",2024,"type",-1
