Input_host,Assigned_host,Assigned_method,Eval,Final_host,Version,Source
of abies nordmanniana,Abies nordmanniana,fuzzy_sci,True,Abies nordmanniana,20231103,IsolationSource
acaciella angustissima,Acaciella angustissima,ete3,True,Acaciella angustissima,20231103,Host
acanthamoeba,Acanthamoeba,ete3,True,Acanthamoeba,20231103,Host
acanthamoeba castellanii,Acanthamoeba castellanii,ete3,True,Acanthamoeba castellanii,20231103,Host
acanthamoeba polyphaga hn-3,Acanthamoeba polyphaga,fuzzy_sci,True,Acanthamoeba polyphaga,20231103,Host
acer palmatum,Acer palmatum,ete3,True,Acer palmatum,20231103,Host
achillea ptarmica,Achillea ptarmica,ete3,True,Achillea ptarmica,20231103,Host
acipenser sinensis,Acipenser sinensis,ete3,True,Acipenser sinensis,20231103,IsolationSource
acmispon strigosus,Acmispon strigosus,ete3,True,Acmispon strigosus,20231103,Host
acromis sparsa,Acromis sparsa,ete3,True,Acromis sparsa,20231103,Host
actinidia,Actinidia,ete3,True,Actinidia,20231103,Host
actinidia chinensis,Actinidia chinensis,ete3,True,Actinidia chinensis,20231103,Host
actinidia deliciosa,Actinidia deliciosa,ete3,True,Actinidia deliciosa,20231103,Host
actinidia deliciosa 'hayward',Actinidia deliciosa,fuzzy_sci,True,Actinidia deliciosa,20231103,Host
actinidia deliciosa hayward,Actinidia deliciosa,fuzzy_sci,True,Actinidia deliciosa,20231103,Host
kiwifruit,Actinidia deliciosa,ncbi_taxonomy,True,Actinidia deliciosa,20231103,Host
acyrthosiphon caraganae,Acyrthosiphon caraganae,ete3,True,Acyrthosiphon caraganae,20231103,Host
acyrthosiphon kondoi,Acyrthosiphon kondoi,ete3,True,Acyrthosiphon kondoi,20231103,Host
acyrthosiphon pisum,Acyrthosiphon pisum,ete3,True,Acyrthosiphon pisum,20231103,Host
adelges cooleyi,Adelges cooleyi,ete3,True,Adelges cooleyi,20231103,Host
adelges lariciatus,Adelges lariciatus,ete3,True,Adelges lariciatus,20231103,Host
aedes aegypti,Aedes aegypti,ete3,True,Aedes aegypti,20231103,Host
aedes albopictus,Aedes albopictus,ete3,True,Aedes albopictus,20231103,Host
aeromonas salmonicida j223 after thermal shock,Aeromonas salmonicida subsp. salmonicida,fuzzy_syn,True,Aeromonas salmonicida subsp. salmonicida,20231103,IsolationSource
aesculus hippocastanum,Aesculus hippocastanum,ete3,True,Aesculus hippocastanum,20231103,Host
agave americana l.,Agave americana,fuzzy_sci,True,Agave americana,20231103,Host
aglaonema,Aglaonema,ete3,True,Aglaonema,20231103,IsolationSource
aglaonema sp.,Aglaonema,fuzzy_sci,True,Aglaonema,20231103,Host
agroiconota sp.,Agroiconota,fuzzy_sci,True,Agroiconota,20231103,Host
ailuropoda melanoleuca,Ailuropoda melanoleuca,ete3,True,Ailuropoda melanoleuca,20231103,Host
giant panda,Ailuropoda melanoleuca,ncbi_taxonomy,True,Ailuropoda melanoleuca,20231103,Host
alectorobius puertoricensis,Alectorobius puertoricensis,ete3,True,Alectorobius puertoricensis,20231103,Host
alectorobius rudis,Alectorobius rudis,ete3,True,Alectorobius rudis,20231103,Host
alexandrium minutum,Alexandrium minutum,ete3,True,Alexandrium minutum,20231103,Host
alexandrium ostenfeldii,Alexandrium ostenfeldii,ete3,True,Alexandrium ostenfeldii,20231103,Host
alhagi sparsifolia shap.,Alhagi sparsifolia,fuzzy_sci,True,Alhagi sparsifolia,20231103,Host
allacta bimaculata,Allacta bimaculata,ete3,True,Allacta bimaculata,20231103,Host
allamanda cathartica,Allamanda cathartica,ete3,True,Allamanda cathartica,20231103,Host
alligator,Alligator,ete3,True,Alligator,20231103,Host
allium cepa,Allium cepa,ete3,True,Allium cepa,20231103,Host
allium cepa l.,Allium cepa,fuzzy_sci,True,Allium cepa,20231103,Host
onion,Allium cepa,ncbi_taxonomy,True,Allium cepa,20231103,Host
onions,Allium cepa,fuzzy_common,True,Allium cepa,20231103,IsolationSource
alopochen aegyptiaca,Alopochen aegyptiaca,ete3,True,Alopochen aegyptiaca,20231103,Host
alvinocaris longirostris,Alvinocaris longirostris,ete3,True,Alvinocaris longirostris,20231103,Host
amazona aestiva,Amazona aestiva,ete3,True,Amazona aestiva,20231103,Host
amazona sp.,Amazona sp.,ete3,True,Amazona sp.,20231103,Host
amblyomma cajennense,Amblyomma cajennense,ete3,True,Amblyomma cajennense,20231103,Host
amblyomma neumanni,Amblyomma neumanni,ete3,True,Amblyomma neumanni,20231103,Host
amphibia,Amphibia,ete3,True,Amphibia,20231103,Host
amphicarpaea bracteata,Amphicarpaea bracteata,ete3,True,Amphicarpaea bracteata,20231103,Host
anabas testudineus,Anabas testudineus,ete3,True,Anabas testudineus,20231103,Host
anadara tuberculosa,Anadara tuberculosa,ete3,True,Anadara tuberculosa,20231103,Host
pineapple,Ananas comosus,ncbi_taxonomy,True,Ananas comosus,20231103,IsolationSource
anas crecca,Anas crecca,ete3,True,Anas crecca,20231103,Host
anas platyrhynchos,Anas platyrhynchos,ete3,True,Anas platyrhynchos,20231103,Host
duck,Anas platyrhynchos,ncbi_taxonomy,True,Anas platyrhynchos,20231103,Host
anasa tristis,Anasa tristis,ete3,True,Anasa tristis,20231103,Host
andrias davidianus,Andrias davidianus,ete3,True,Andrias davidianus,20231103,IsolationSource
androsace koso-poljanskii,Androsace koso-poljanskii,ete3,True,Androsace koso-poljanskii,20231103,Host
angelica gigas,Angelica gigas,ete3,True,Angelica gigas,20231103,IsolationSource
angelica sinensis dlies,Angelica sinensis,fuzzy_sci,True,Angelica sinensis,20231103,Host
anguilla anguilla,Anguilla anguilla,ete3,True,Anguilla anguilla,20231103,Host
anguilla bicolor,Anguilla bicolor,ete3,True,Anguilla bicolor,20231103,Host
anguilla japonica,Anguilla japonica,ete3,True,Anguilla japonica,20231103,Host
anguilla marmorata,Anguilla marmorata,ete3,True,Anguilla marmorata,20231103,Host
anodonta arcaeformis,Anodonta arcaeformis,ete3,True,Anodonta arcaeformis,20231103,Host
sablefish,Anoplopoma fimbria,ncbi_taxonomy,True,Anoplopoma fimbria,20231103,Host
anser,Anser,ete3,True,Anser,20231103,Host
goose,Anser sp.,ncbi_taxonomy,True,Anser sp.,20231103,Host
antirrhinum majus,Antirrhinum majus,ete3,True,Antirrhinum majus,20231103,Host
aphis craccivora,Aphis craccivora,ete3,True,Aphis craccivora,20231103,Host
aphis craccivora (cowpea aphid),Aphis craccivora,fuzzy_syn,True,Aphis craccivora,20231103,Host
aphis fabae,Aphis fabae,ete3,True,Aphis fabae,20231103,Host
aphis glycines,Aphis glycines,ete3,True,Aphis glycines,20231103,Host
aphis helianthi,Aphis helianthi,ete3,True,Aphis helianthi,20231103,Host
aphis urticata,Aphis urticata,ete3,True,Aphis urticata,20231103,Host
honeybees,Apinae,fuzzy_common,True,Apinae,20231103,Host
apis mellifera,Apis mellifera,ete3,True,Apis mellifera,20231103,Host
bee honey,Apis mellifera,fuzzy_common,True,Apis mellifera,20231103,IsolationSource
apis mellifera iberiensis,Apis mellifera iberiensis,ete3,True,Apis mellifera iberiensis,20231103,Host
bee bread of apis mellifera,Apis mellifera mellifera,fuzzy_sci,True,Apis mellifera mellifera,20231103,IsolationSource
apium graveolens,Apium graveolens,ete3,True,Apium graveolens,20231103,Host
apodemus agrarius,Apodemus agrarius,ete3,True,Apodemus agrarius,20231103,Host
apostichopus japonicus,Apostichopus japonicus,ete3,True,Apostichopus japonicus,20231103,Host
apterostigma,Apterostigma,ete3,True,Apterostigma,20231103,Host
apterostigma dentigerum,Apterostigma dentigerum,ete3,True,Apterostigma dentigerum,20231103,Host
arabidopsis,Arabidopsis,ete3,True,Arabidopsis,20231103,Host
arabidopsis thaliana,Arabidopsis thaliana,ete3,True,Arabidopsis thaliana,20231103,Host
arachis hypogaea,Arachis hypogaea,ete3,True,Arachis hypogaea,20231103,Host
arachis hypogaea l.,Arachis hypogaea,fuzzy_sci,True,Arachis hypogaea,20231103,Host
peanut,Arachis hypogaea,ncbi_taxonomy,True,Arachis hypogaea,20231103,Host
aratinga solstitialis,Aratinga solstitialis,ete3,True,Aratinga solstitialis,20231103,Host
areca catechu,Areca catechu,ete3,True,Areca catechu,20231103,Host
argas persicus,Argas persicus,ete3,True,Argas persicus,20231103,Host
argopecten purpuratus,Argopecten purpuratus,ete3,True,Argopecten purpuratus,20231103,Host
argyrolobium uniflorum,Argyrolobium uniflorum,ete3,True,Argyrolobium uniflorum,20231103,Host
artipe eryx,Artipe eryx,ete3,True,Artipe eryx,20231103,Host
apsterostigma,Asterostigma,fuzzy_sci,True,Asterostigma,20231103,Host
astragalus inopinatus,Astragalus inopinatus,ete3,True,Astragalus inopinatus,20231103,Host
astragalus pelecinus,Astragalus pelecinus,ete3,True,Astragalus pelecinus,20231103,Host
biserrula pelecinus l,Astragalus pelecinus,fuzzy_syn,True,Astragalus pelecinus,20231103,Host
biserrula pelecinus l.,Astragalus pelecinus,fuzzy_syn,True,Astragalus pelecinus,20231103,Host
astragalus sp.,Astragalus sp. a2,fuzzy_sci,True,Astragalus sp. a2,20231103,Host
astragalus umbellatus,Astragalus umbellatus,ete3,True,Astragalus umbellatus,20231103,Host
atheris squamigera,Atheris squamigera,ete3,True,Atheris squamigera,20231103,Host
atrina pectinata,Atrina pectinata,ete3,True,Atrina pectinata,20231103,Host
austroplebeia australis,Austroplebeia australis,ete3,True,Austroplebeia australis,20231103,Host
avena sativa,Avena sativa,ete3,True,Avena sativa,20231103,Host
aves,Aves,ete3,True,Aves,20231103,Host
avian,Aves,ete3,True,Aves,20231103,Host
babylonia areolata,Babylonia areolata,ete3,True,Babylonia areolata,20231103,Host
bacillus thuringiensis subsp,Bacillus thuringiensis,fuzzy_sci,True,Bacillus thuringiensis,20231103,Host
bacillus thuringiensis ssp. tenebrionis (btt),Bacillus thuringiensis serovar thuringiensis,fuzzy_syn,True,Bacillus thuringiensis serovar thuringiensis,20231103,IsolationSource
bacteria,Bacteria,ete3,True,Bacteria,20231103,Host
bacterial consortium,Bacterial consortium hj2-2,fuzzy_sci,True,Bacterial consortium hj2-2,20231103,IsolationSource
bactrocera dorsalis,Bactrocera dorsalis,ete3,True,Bactrocera dorsalis,20231103,Host
baizongia pistaciae,Baizongia pistaciae,ete3,True,Baizongia pistaciae,20231103,Host
banana,Baniana,fuzzy_sci,False,Musa,20231103,Host
bankia setacea,Bankia setacea,ete3,True,Bankia setacea,20231103,Host
barbarea vulgaris,Barbarea vulgaris,ete3,True,Barbarea vulgaris,20231103,Host
bathymodiolus marisindicus,Bathymodiolus marisindicus,ete3,True,Bathymodiolus marisindicus,20231103,Host
brazil nut,Bertholletia excelsa,ncbi_taxonomy,True,Bertholletia excelsa,20231103,IsolationSource
beta vulgaris,Beta vulgaris,ete3,True,Beta vulgaris,20231103,Host
sugar beet,Beta vulgaris subsp. vulgaris,ncbi_taxonomy,True,Beta vulgaris subsp. vulgaris,20231103,IsolationSource
betula schmidtii,Betula schmidtii,ete3,True,Betula schmidtii,20231103,Host
bidens alba,Bidens alba,ete3,True,Bidens alba,20231103,Host
bison,Bison,ete3,True,Bison,20231103,IsolationSource
blaberus giganteus,Blaberus giganteus,ete3,True,Blaberus giganteus,20231103,Host
blanco,Blancoa,fuzzy_sci,True,Blancoa,20231103,Host
pogostemon cablin (blanco) benth,Blancoa,fuzzy_sci,False,Pogostemon cablin,20231103,Host
blasia pusilla,Blasia pusilla,ete3,True,Blasia pusilla,20231103,Host
blatta orientalis,Blatta orientalis,ete3,True,Blatta orientalis,20231103,Host
blattella germanica,Blattella germanica,ete3,True,Blattella germanica,20231103,Host
white bream,Blicca bjoerkna,ncbi_taxonomy,True,Blicca bjoerkna,20231103,Host
bolboschoenus planiculmis,Bolboschoenus planiculmis,ete3,True,Bolboschoenus planiculmis,20231103,Host
bumble bee,Bombus,fuzzy_common,True,Bombus,20231103,Host
bombyx mori,Bombyx mori,ete3,True,Bombyx mori,20231103,Host
silkworm,Bombyx mori,ncbi_taxonomy,True,Bombyx mori,20231103,Host
yak,Bos grunniens,ncbi_taxonomy,True,Bos grunniens,20231103,Host
bos mutus,Bos mutus,ete3,True,Bos mutus,20231103,Host
air of cow shed,Bos taurus,bos_taurus_synonym,True,Bos taurus,20231103,IsolationSource
amblyomma variegatum (cattle tick),Bos taurus,bos_taurus_synonym,True,Bos taurus,20231103,Host
animal-calf-bob veal,Bos taurus,bos_taurus_synonym,True,Bos taurus,20231103,IsolationSource
animal-cattle heifer,Bos taurus,bos_taurus_synonym,True,Bos taurus,20231103,IsolationSource
animal-cattle-beef cow,Bos taurus,bos_taurus_synonym,True,Bos taurus,20231103,IsolationSource
animal-cattle-beef cow (cecal),Bos taurus,bos_taurus_synonym,True,Bos taurus,20231103,IsolationSource
animal-cattle-dairy cow,Bos taurus,bos_taurus_synonym,True,Bos taurus,20231103,IsolationSource
