"input_location","output_location","notes","version"
"Taiwan,Greenhouse,Academia Sinica,Taipei","Taiwan,Taipei city,Nangang District","","20231103"
"Taiwan,IPMB,Academia Sinica,Taipei","Taiwan,Taipei city,Nangang District","","20231103"
"New Caledonia,Prony Bay,Bain des Japonais","New Caledonia,Prony Bay","","20231103"
"New Caledonia,Prony Bay,ST09 site","New Caledonia,Prony Bay","","20231103"
"Spain,Ebro delta,Catalonia","Spain,Delta del Ebro","","20231103"
"USA,Children Hospital,Dallas,Texas","United States, TX 75235, Dallas, Medical District Dr 1935","","20231103"
"China,Lengshuijiang,Hunan","China, Hunan, Loudi, Lengshuijiang","","20231103"
"Senegal,Sagata","Senegal, Sagatta ","","20231103"
"Singapore,Sungei Ulu Pandan,Clementi","Singapore, Clementi, Sungei Ulu Pandan","","20231103"
"Thailand,Ubon/Kemarach","Thailand,Ubon","","20231103"
"China,alaer","China, Xinjiang, Aksu Prefecture, Awat County","","20231103"
"Russia,Kara sea","Russia, Kara river","","20231103"
"USA,East Fork Poplar Creek,Oak Ridge Tennessee","USA, Tennessee, Oak Ridge, East Fork Poplar Creek","","20231103"
"China,Zhangpu,Fujian","China, Fujian, Zhangzhou, Zhangpu","","20231103"
"Antarctica,Enderby Land, Vecherniy district of the Tala Hills oasis","Enderby Land","","20231103"
"Norway,Isfjord,Spitsbergen","Norway,Spitsbergen,Isfjord","","20231103"
"USA,Idaho,Franklin county,ID","USA, Idaho, Franklin County, ID","","20231103"
"China,Lushi County,Sanmenxia City,Henan Provience","China, Henan, Sanmenxia, Lushi County","","20231103"
"China,Guiyu town of Guandong","China, Guangdong Province, Shantou, Guiyu","","20231103"
"China,Zhejiang province,Hangzhou","China, Zhejiang, Hangzhou","","20231103"
"Canada,near Kenora,Ontario,Lake 227,IISD","Canada, Ontario, Kenora, 227 Lake Street","","20231103"
"China,Nei Monggol Autonomous Region","China,Inner Mongolia","","20231103"
"South Korea,Yangju,Gyeonggi","South Korea, Gyeonggi-do, Yangju ","","20231103"
"South Africa,Plant Protection Research Institute,Pretoria","South Africa, Pretoria","","20231103"
"China,Changchun,Zuojia Zhen","China, Jilin, Changchun","","20231103"
"South Korea,Yuseong","South Korea, Daejeon, Yuseong-gu","","20231103"
"Indian Ocean,LongQi hydrothermal vent 2700m deep in the southwest Indian Ocean ridge","Indian Ocean","","20231103"
"China,Longshan Forest Farm,Longtian Town,Lechang City,Guangdong Province","China, Guangdong Province, Shaoguan, Lechang","","20231103"
"Arctic Ocean,Chukchi Sea","Chukchi Sea","","20231103"
"Russia,coastal zone in the Dzhigit cove of Peter the Great Bay,Sea of Japan","Zaliv Petra Velikogo","","20231103"
"South Korea,Icheon,Gyeonggi province","South Korea, Gyeonggi, Icheon-si","","20231103"
"South Korea,Sancheong district,Gyeongsang province","Sancheong, Gyeongsangnam-do, South Korea","","20231103"
"Sagata, Senegal","Sagatta, Senegal","","20231103"
"Niger,Saga,Niamey","13.4683626;2.1394935","coordinates","20231103"
"Antarctica,Vecherniy district of the Tala Hills oasis,Enderby Land","Enderby Land","","20231103"
"USA,Idaho,Franklin county,ID-36 through Emigration Canyon","USA,Idaho,Franklin county","","20231103"
"Germany,gas-works plant 10 km north of Gottingen","Germany,Gottingen","","20231103"
"Canada,near Kenora,Ontario,Lake 227,IISD-Experimental Lakes Area","Canada,IISD-Experimental Lakes Area","","20231103"
"South Korea,Yangju,Gyeonggi-do","South Korea, Gyeonggi, Yangju","","20231103"
"South Korea,Yuseong-gu,Daejeon-si","South Korea, Daejeon, Yuseong-gu,Sinseong-dong","","20231103"
"China,Tianjin,Affiliated Hospital of Nankai University","China, Tianjin, Hedong District, Fuminlu,Jintang Road","","20231103"
"Sweden,Malmo,Sjolunda municipal treatment plant","Sweden,Spillepengsgatan","","20231103"
"China,Shanghai,Hangzhou,Zhejiang Province","30.740117050000002;120.8376247","coordinates, middle_point:['Shanghai, China', 'Hangzhou City, Zhejiang, China']","20231103"
"Pacific Ocean,East Pacific Rise","-17.44681203;-113.16478854","coordinates","20231103"
"Russia,Shulgan-Tash cave,Bashkiria","Russia,Cave Shulgan-Tash","","20231103"
"Italy,Ottava,Province of Sassari","Italy, Sardinia, Sassari,Ottava","","20231103"
"China,Dongshan Bay,Zhangzhou City","China, Zhangzhou,Dongshan County","","20231103"
"France,Savoie region,French Alps","France,Savoy","","20231103"
"Kenya,Malkalakole","Kenya, Eastern,Marsabit County","","20231103"
"Kenya,Goroukessa","Kenya","","20231103"
"South Korea,Cheongpyeongho lake","South Korea, Gyeonggi, Gapyeong-gun,Songsan-ri","","20231103"
"Norway,Vest Spitsbergen","Norway, 9170, Svalbard, Longyearbyen, Vei 303,Svalbard kirke","","20231103"
"China,a teaching hospital in Henan","China, Henan, Zhengzhou,Erqi District","","20231103"
"China,The Yellow Sea","Yellow Sea","","20231103"
"Antarctica,Punta Plaza,Admiralty Bay","-40.940944;173.874694","coordinates","20231103"
"Germany,long-term fertilization experiment Paulinenaue","Germany,Paulinenaue","","20231103"
"Germany,exploratory Schorfheide-Chorin","Germany, Brandenburg,Biosphaerenreservat Schorfheide Chorin","","20231103"
"Russia,Mordovia region","Russia, Volga Federal District,Republic of Mordovia","","20231103"
