vdaniovndioanviosanvsavksdlanvidsonvdklavkmdsaiovndsa	vnsanvoisdanvkadsnviosandvoisadnvsdoiamcsaovoianvoisadviosnaivoanovndoa
locusta migratoria	Locusta migratoria
homo sapiens	Homo sapiens
erigeron annuus l. pers	Erigeron annuus
scylla serrata	Scylla serrata
equus caballus	Equus caballus
felis catus	Felis catus
canis lupus familiaris	Canis lupus familiaris
solanum tuberosum	Solanum tuberosum
tobacco	Nicotiana tabacum
sus	Sus
bos taurus	Bos taurus
euphausia superba	Euphausia superba
anas platyrhynchos	Anas platyrhynchos
sus scrofa domesticus	Sus scrofa domesticus
meleagris gallopavo	Meleagris gallopavo
leptinotarsa decemlineata	Leptinotarsa decemlineata
skeletonema costatum	Skeletonema costatum
clematis	Clematis
sus scrofa	Sus scrofa
pyrus pyrifolia	Pyrus pyrifolia
cattle	Bos taurus
citrus	Citrus
skeletonema menzelii	Skeletonema menzelii
male	Lamproblatta sp. LA male
female	Colobostema sp. female
potato	Solanum tuberosum
bovine	Bos taurus
kandelia candel (mangrove)	Kandelia candel
channa argus (snakehead fish)	Channa argus
agroiconota sp.	Agroiconota
charidotella sexpunctata	Charidotella sexpunctata
discomorpha sp.	Discomorpha
acromis sparsa	Acromis sparsa
cistudinella sp.	Cistudinella
chelymorpha alternans	Chelymorpha alternans
ischnocodia annulus	Ischnocodia annulus
parachirida sp.	Parachirida
cassida vibex	Cassida vibex
cassida sp.	Cassida
cassida viridis	Cassida viridis
seriola lalandi	Seriola lalandi
echinacea purpurea	Echinacea purpurea
pentalonia nigronervosa	Pentalonia nigronervosa
oxytropis kamtschatica	Oxytropis kamtschatica
vicia sativa	Vicia sativa
melilotus officinalis	Melilotus officinalis
medicago sativa	Medicago sativa
lathyrus sativus	Lathyrus sativus
trifolium repens	Trifolium repens
turkey	Meleagris gallopavo
oryza sativa	Oryza sativa
pig	Sus scrofa
apostichopus japonicus	Apostichopus japonicus
sablefish	Anoplopoma fimbria
plantain	Musa ABB Group
microlophium carnosum	Microlophium carnosum
aphis urticata	Aphis urticata
duck	Anas platyrhynchos
chicken	Gallus gallus
brassica rapa subsp. pekinensis	Brassica rapa subsp. pekinensis
